HTTrack3.48-22+htsswf+htsjava launched on Sun, 26 Feb 2017 09:46:26 at http://gameport.wiledia.com/ +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar
(winhttrack -qwC2%Ps2u1%s%uN0%I0p3DaK0H0%kf2A25000%f#f -F "Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98)" -%F "<!-- Mirrored from %s%s by HTTrack Website Copier/3.x [XR&CO'2014], %s -->" -%l "pt_BR, en, *" http://gameport.wiledia.com/ -O1 "C:\Meus Sites\Gamestore" +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

10:00:16	Warning: 	Retry after error -4 (No data (connection closed)) at link gameport.wiledia.com/images/square_tiny/1485602475-149.jpg (from gameport.wiledia.com/listings/call-of-duty-black-ops-iii-ps4-yannlps-152)
10:00:16	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/249/media (from gameport.wiledia.com/listings/resident-evil-5-ps4-danilosebastian-148)
10:00:16	Warning: 	Found for gameport.wiledia.com/listings/grand-theft-auto-v-ps4-ahmed.ali-124
10:00:16	Warning: 	File has moved from gameport.wiledia.com/listings/grand-theft-auto-v-ps4-ahmed.ali-124 to http://gameport.wiledia.com/listings/grand-theft-auto-v-ps4-ahmedali-124
10:00:17	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/157/media (from gameport.wiledia.com/listings/rise-of-the-tomb-raider-20-year-celebration-ps4-andrzejandrzej-82)
10:00:18	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/146/media (from gameport.wiledia.com/listings/skylanders-imaginators-ps4-andy-73)
10:00:18	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/120/media (from gameport.wiledia.com/listings/wolfenstein-the-new-order-ps4-peterranken-70)
10:00:18	Warning: 	Retry after error -4 (No data (connection closed)) at link gameport.wiledia.com/games/killzone-shadow-fall-ps4-143 (from gameport.wiledia.com/listings/killzone-shadow-fall-ps4-peterranken-69)
10:00:18	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/143/media (from gameport.wiledia.com/listings/killzone-shadow-fall-ps4-peterranken-69)
10:00:18	Warning: 	Found for gameport.wiledia.com/listings/the-crew-ps4-peter.ranken-68
10:00:18	Warning: 	File has moved from gameport.wiledia.com/listings/the-crew-ps4-peter.ranken-68 to http://gameport.wiledia.com/listings/the-crew-ps4-peterranken-68
10:00:18	Warning: 	Retry after error -4 (No data (connection closed)) at link gameport.wiledia.com/games/the-evil-within-ps4-141 (from gameport.wiledia.com/listings/the-evil-within-ps4-andy-67)
10:00:18	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/141/media (from gameport.wiledia.com/listings/the-evil-within-ps4-andy-67)
10:00:19	Error: 	"Not Found" (404) at link gameport.wiledia.com/games/138/media (from gameport.wiledia.com/listings/gravity-rush-2-ps4-andy-63)
10:00:20	Warning: 	Found for gameport.wiledia.com/login/facebook
